customer_id,statement_month,limit_balance,default_next_month,split,pd_logistic_regression,pd_decision_tree,pd_random_forest,pd_gradient_boosting,selected_model,predicted_pd,risk_band
1,2025-02,113000.0,1,train,0.21025017060455942,0.16091954022988506,0.31874669774778747,0.2442846299548746,logistic_regression,0.21025017060455942,D
2,2025-10,70000.0,0,test,0.027495840916564786,0.015909090909090907,0.031034561735381175,0.07953327087090435,logistic_regression,0.027495840916564786,B
3,2025-08,27000.0,0,train,0.056500658675628035,0.058394160583941604,0.058483558553834476,0.08221641103248632,logistic_regression,0.056500658675628035,C
4,2025-06,89000.0,0,test,0.5165076178728237,0.4418604651162791,0.4090597460425866,0.43383720034259593,logistic_regression,0.5165076178728237,E
5,2025-06,54000.0,0,train,0.3453404857910571,0.3516483516483517,0.29532401154615256,0.22063061263681738,logistic_regression,0.3453404857910571,E
6,2025-11,44000.0,0,train,0.27638791444289323,0.3516483516483517,0.22928005736762996,0.1493864264040891,logistic_regression,0.27638791444289323,E
7,2025-02,71000.0,0,train,0.166634188415182,0.2073170731707317,0.1521762323903034,0.10937343483080386,logistic_regression,0.166634188415182,D
8,2025-09,17000.0,0,train,0.16251210102991082,0.2073170731707317,0.07563999097140289,0.10590629274786578,logistic_regression,0.16251210102991082,D
9,2025-03,51000.0,1,test,0.8580785760544406,0.7288135593220338,0.5407324461128671,0.5289970096012291,logistic_regression,0.8580785760544406,E
10,2025-02,55000.0,0,train,0.13675551317109713,0.3516483516483517,0.20092969586519885,0.1700056826310251,logistic_regression,0.13675551317109713,D
11,2025-07,55000.0,0,train,0.08787608631385818,0.058394160583941604,0.09180081651710686,0.07953327087090435,logistic_regression,0.08787608631385818,C
12,2025-12,24000.0,0,train,0.06665627605381187,0.058394160583941604,0.050885612230930355,0.08221641103248632,logistic_regression,0.06665627605381187,C
13,2025-09,90000.0,0,train,0.3295846839479121,0.4418604651162791,0.29840455648498637,0.35855029762746055,logistic_regression,0.3295846839479121,E
14,2025-10,31000.0,0,train,0.2662323634097666,0.058394160583941604,0.13980994381744322,0.11016910371892853,logistic_regression,0.2662323634097666,E
15,2025-09,66000.0,0,train,0.06835512949411875,0.04040404040404041,0.047863600535380746,0.0976298370716967,logistic_regression,0.06835512949411875,C
16,2025-10,184000.0,0,train,0.008103916336519227,0.04040404040404041,0.04860695421629393,0.07953327087090435,logistic_regression,0.008103916336519227,A
17,2025-07,108000.0,0,train,0.07408111596380335,0.2073170731707317,0.14770650408465008,0.10590629274786578,logistic_regression,0.07408111596380335,C
18,2025-02,64000.0,0,test,0.10233415211004454,0.058394160583941604,0.0977873047677138,0.0976298370716967,logistic_regression,0.10233415211004454,D
19,2025-11,105000.0,0,test,0.017904638754376593,0.015909090909090907,0.040089722420077877,0.07953327087090435,logistic_regression,0.017904638754376593,A
20,2025-06,70000.0,0,train,0.04065273015671656,0.058394160583941604,0.05891926670786354,0.07953327087090435,logistic_regression,0.04065273015671656,B
21,2025-07,46000.0,0,train,0.013752669353130088,0.015909090909090907,0.02627216420588366,0.07953327087090435,logistic_regression,0.013752669353130088,A
22,2025-05,186000.0,0,train,0.04112990292261295,0.04040404040404041,0.08582561802998463,0.0976298370716967,logistic_regression,0.04112990292261295,B
23,2025-03,59000.0,0,train,0.021487412524000146,0.058394160583941604,0.05926677519834793,0.07953327087090435,logistic_regression,0.021487412524000146,A
24,2025-12,77000.0,0,train,0.033710067802433887,0.015909090909090907,0.073252035181395,0.07953327087090435,logistic_regression,0.033710067802433887,B
25,2025-10,61000.0,0,train,0.08923860589457122,0.058394160583941604,0.07289917641936888,0.08221641103248632,logistic_regression,0.08923860589457122,C
26,2025-08,85000.0,1,train,0.5726576344778571,0.4418604651162791,0.42941480053204073,0.38155958136504675,logistic_regression,0.5726576344778571,E
27,2025-05,96000.0,0,train,0.048355521781326447,0.058394160583941604,0.0742405924535808,0.0976298370716967,logistic_regression,0.048355521781326447,C
28,2025-10,38000.0,0,train,0.04288214097917206,0.058394160583941604,0.08311439957627195,0.08221641103248632,logistic_regression,0.04288214097917206,B
29,2025-07,162000.0,0,test,0.03353231153105843,0.058394160583941604,0.0702004891399869,0.08221641103248632,logistic_regression,0.03353231153105843,B
30,2025-06,39000.0,1,test,0.12611738606758188,0.058394160583941604,0.12772430962078726,0.08221641103248632,logistic_regression,0.12611738606758188,D
31,2025-06,108000.0,0,train,0.0221481365657403,0.04040404040404041,0.05810580655407478,0.07953327087090435,logistic_regression,0.0221481365657403,A
32,2025-03,50000.0,0,train,0.04862166070177369,0.058394160583941604,0.06763325577401733,0.07953327087090435,logistic_regression,0.04862166070177369,C
33,2025-02,47000.0,0,train,0.6534153180424487,0.7288135593220338,0.4807071455371745,0.43383720034259593,logistic_regression,0.6534153180424487,E
34,2025-07,81000.0,0,train,0.1723395518751839,0.058394160583941604,0.10886611623967947,0.1493864264040891,logistic_regression,0.1723395518751839,D
35,2025-11,85000.0,0,test,0.015476481760475757,0.015909090909090907,0.019811781839698034,0.07953327087090435,logistic_regression,0.015476481760475757,A
36,2025-01,41000.0,0,train,0.07931693826732748,0.058394160583941604,0.09320009732488443,0.07953327087090435,logistic_regression,0.07931693826732748,C
37,2025-11,83000.0,0,train,0.6085116476055644,0.4418604651162791,0.4645344752935608,0.47487039497252903,logistic_regression,0.6085116476055644,E
38,2025-10,143000.0,0,train,0.2324762938814243,0.2073170731707317,0.21517621266374296,0.1940396511143718,logistic_regression,0.2324762938814243,E
39,2025-04,187000.0,0,train,0.02245784533290445,0.1504424778761062,0.06214484487684756,0.12300402933802419,logistic_regression,0.02245784533290445,A
40,2025-08,162000.0,0,train,0.041252438889074566,0.04040404040404041,0.1258796266866439,0.0976298370716967,logistic_regression,0.041252438889074566,B
41,2025-02,33000.0,1,train,0.21191982960917585,0.3516483516483517,0.22237012353969696,0.1700056826310251,logistic_regression,0.21191982960917585,E
42,2025-10,49000.0,0,train,0.1435455491381165,0.058394160583941604,0.11816049718559868,0.08998003659302588,logistic_regression,0.1435455491381165,D
